client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
78;01/10/2021;1;0;1;0;0;6.9;0;0;0;0;1;0;9;0;0;9.718;null;65;null;1;0;0;0
142;01/03/2022;1;0;0;1;0;6.9;2;2;0;0;0;0;2;0;0;9.454;null;88;null;0;0;0;0
148;01/02/2021;1;0;0;0;1;6.9;1;0;0;0;0;0;6;0;0;8.352;null;364;null;1;1;80.89;0
190;01/09/2020;1;0;0;1;0;3.45;0;0;0;0;0;0;4;0;0;7.723;null;246;null;1;0;0;1
208;01/01/2022;1;0;0;1;0;13.8;3;2;0;0;7;0;6;0;0;9.035;null;872;null;1;0;184.46;0
237;01/02/2021;1;0;0;1;0;6.9;0;0;2;0;6;0;12;0;0;8.059;null;523;null;1;1;1401.1;0
323;01/08/2021;1;0;0;1;0;5.75;2;2;0;0;0;0;7;0;0;8.441;null;265;null;1;0;0;1
369;01/01/2022;1;0;0;0;1;6.9;4;2;0;0;0;0;18;0;0;8.704;null;815;null;1;1;0;0
431;01/12/2020;1;0;0;1;0;6.9;0;0;0;0;0;0;8;0;0;7.333;null;292;null;1;1;72.44;0
468;01/09/2021;1;0;0;0;1;20.7;2;2;0;0;1;0;7;0;0;7.917;null;99;null;1;1;189.55;0
537;01/09/2021;1;1;0;1;0;3.45;2;2;0;0;1;0;1;0;0;7.702;7.702;580;2;1;1;62.22;0
648;01/02/2021;1;0;0;0;1;6.9;0;0;0;0;1;0;5;0;0;6.903;null;469;null;0;0;58.92;0
654;01/10/2021;0;0;0;0;1;null;2;2;0;0;2;0;11;0;0;7.554;null;112;null;0;0;55.64;1
805;01/02/2022;1;0;0;0;1;6.9;2;2;0;0;0;0;8;0;0;7.441;null;677;null;1;0;12.9;0
814;01/12/2020;1;0;0;0;1;13.8;0;0;0;0;1;0;4;0;0;6.258;null;153;null;0;0;0;0
